
2025/07/13 (09:30:43) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/13 (09:30:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/13 (10:03:12) | ===> btop++ v.1.3.0
2025/07/13 (10:03:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/13 (10:03:12) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/13 (10:03:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/13 (14:07:12) | ===> btop++ v.1.3.0
2025/07/13 (14:07:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/13 (14:07:12) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/13 (14:07:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/07/13 (21:34:26) | ERROR: Stall in Runner thread, restarting!
2025/07/13 (21:34:32) | ERROR: Stall in Runner thread, restarting!
2025/07/13 (21:34:38) | ERROR: Stall in Runner thread, restarting!
2025/07/13 (21:34:44) | ERROR: Stall in Runner thread, restarting!
2025/07/13 (21:34:50) | ERROR: Stall in Runner thread, restarting!
2025/07/13 (21:34:56) | ERROR: Stall in Runner thread, restarting!
2025/07/13 (21:35:02) | ERROR: Stall in Runner thread, restarting!
2025/07/13 (21:35:08) | ERROR: Stall in Runner thread, restarting!

2025/07/13 (21:42:14) | ===> btop++ v.1.3.0
2025/07/13 (21:42:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/13 (21:42:14) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/13 (21:42:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/14 (19:55:26) | ===> btop++ v.1.3.0
2025/07/14 (19:55:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/14 (19:55:26) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/14 (19:55:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/15 (17:08:19) | ===> btop++ v.1.3.0
2025/07/15 (17:08:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/15 (17:08:19) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/15 (17:08:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/15 (19:30:53) | ===> btop++ v.1.3.0
2025/07/15 (19:30:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/15 (19:30:53) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/15 (19:30:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/16 (17:41:12) | ===> btop++ v.1.3.0
2025/07/16 (17:41:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/16 (17:41:12) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/16 (17:41:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/17 (17:16:57) | ===> btop++ v.1.3.0
2025/07/17 (17:16:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/17 (17:16:57) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/17 (17:16:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/17 (23:06:01) | ===> btop++ v.1.3.0
2025/07/17 (23:06:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/17 (23:06:01) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/17 (23:06:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/18 (17:27:23) | ===> btop++ v.1.3.0
2025/07/18 (17:27:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/18 (17:27:23) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/18 (17:27:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/19 (11:37:57) | ===> btop++ v.1.3.0
2025/07/19 (11:37:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/19 (11:37:57) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/19 (11:37:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/19 (13:22:16) | ===> btop++ v.1.3.0
2025/07/19 (13:22:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/19 (13:22:16) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/19 (13:22:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/19 (17:25:31) | ===> btop++ v.1.3.0
2025/07/19 (17:25:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/19 (17:25:31) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/19 (17:25:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/19 (20:54:33) | ===> btop++ v.1.3.0
2025/07/19 (20:54:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/19 (20:54:33) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/19 (20:54:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/20 (09:40:43) | ===> btop++ v.1.3.0
2025/07/20 (09:40:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/20 (09:40:43) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/20 (09:40:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/20 (13:05:56) | ===> btop++ v.1.3.0
2025/07/20 (13:05:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/20 (13:05:56) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/20 (13:05:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/20 (15:00:08) | ===> btop++ v.1.3.0
2025/07/20 (15:00:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/20 (15:00:08) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/07/20 (15:00:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
